0,icao_code,1,name_eng,2,city_eng,3,country_rus
OESK,OESK,Jouf,Jouf,Sakaka Al Jouf,Sakaka Al Jouf,Саудовская Аравия,Саудовская Аравия
LTCO,LTCO,A&amp;#287;ri,A&amp;#287;ri,Agri,Agri,Италия,Италия
GQNJ,GQNJ,Akjoujt,Akjoujt,Akjoujt,Akjoujt,Мавритания,Мавритания
OIHR,OIHR,Araak,Araak,Araak,Araak,Иран,Иран
VEAZ,VEAZ,Aizawl,Aizawl,Aizawl,Aizawl,Индия,Индия
FMCV,FMCV,Ouani,Ouani,Anjouan,Anjouan,Коморские острова,Коморские острова
,,Aljouf,Aljouf,Aljouf,Aljouf,Йемен,Йемен
ESNX,ESNX,Arvidsjaur,Arvidsjaur,Arvidsjaur,Arvidsjaur,Швеция,Швеция
,,Abreojos,Abreojos,Abreojos,Abreojos,Мексика,Мексика
SBAR,SBAR,Santa Maria,Santa Maria,Aracaju,Aracaju,Бразилия,Бразилия
DRZA,DRZA,Agades,Agades,Agades,Agades,Нигер,Нигер
ZLAK,ZLAK,Ankang,Ankang,Ankang,Ankang,Китай,Китай
PAAK,PAAK,Atka,Atka,Atka,Atka,США,США
KAKR,KAKR,Fulton International,Fulton International,Akron/Canton,Akron/Canton,ЮАР,ЮАР
VAAK,VAAK,Akola,Akola,Akola,Akola,Индия,Индия
,,Akieni,Akieni,Akieni,Akieni,Габон,Габон
HLKF,HLKF,Kufrah,Kufrah,Kufrah,Kufrah,Ливия,Ливия
,,Anguganak,Anguganak,Anguganak,Anguganak,Папуа - Новая Гвинея,Папуа - Новая Гвинея
OEPS,OEPS,Prince Sultan Air Base,Prince Sultan Air Base,Al Kharj,Al Kharj,Саудовская Аравия,Саудовская Аравия
PFAK,PFAK,Akiak,Akiak,Akiak,Akiak,США,США
RJEC,RJEC,Asahikawa,Asahikawa,Asahikawa,Asahikawa,Япония,Япония
PAKH,PAKH,Akhiok SPB,Akhiok SPB,Akhiok,Akhiok,США,США
NZAA,NZAA,Auckland International,Auckland International,Auckland,Auckland,Новая Зеландия,Новая Зеландия
,,Zakouma,Zakouma,Zakouma,Zakouma,Чад,Чад
PAKN,PAKN,King Salmon,King Salmon,King Salmon,King Salmon,США,США
KAKO,KAKO,Colorado Plains Regional Airport,Colorado Plains Regional Airport,Akron, CO,Akron, CO,США,США
PAKP,PAKP,Anaktuvuk,Anaktuvuk,Anaktuvuk,Anaktuvuk,США,США
WIAG,WIAG,Gunung Batin,Gunung Batin,Astraksetra,Astraksetra,Индонезия,Индонезия
DNAK,DNAK,Akure,Akure,Akure,Akure,Нигерия,Нигерия
LCRA,LCRA,Akrotiri Raf,Akrotiri Raf,Akrotiri,Akrotiri,Кипр,Кипр
ZWAK,ZWAK,Aksu,Aksu,Aksu,Aksu,Китай,Китай
CYKO,CYKO,Akulivik,Akulivik,Akulivik,Akulivik,Канада,Канада
OIAG,OIAG,Aghajari,Aghajari,Aghajari,Aghajari,Иран,Иран
UATT,UATT,Aktyubinsk,Aktyubinsk,Aktyubinsk,Aktyubinsk,Казахстан,Казахстан
VYSW,VYSW,Civil,Civil,Sittwe,Sittwe,Мьянма,Мьянма
UAAA,UAAA,Almaty,Almaty,Almaty,Almaty,Казахстан,Казахстан
KALB,KALB,Albany International,Albany International,Albany,Albany,США,США
LEAL,LEAL,Alicante El Altet,Alicante El Altet,Alicante,Alicante,Испания,Испания
SPAR,SPAR,Alerta,Alerta,Alerta,Alerta,Перу,Перу
,,Alpine,Alpine,Alpine,Alpine,США,США
ENAT,ENAT,Alta,Alta,Alta,Alta,Норвегия,Норвегия
DAAG,DAAG,Houari Boumediene,Houari Boumediene,Algiers,Algiers,Алжир,Алжир
YABA,YABA,Albany,Albany,Albany,Albany,Австралия,Австралия
KALI,KALI,International,International,Alice,Alice,США,США
FAAB,FAAB,Kortdoorn,Kortdoorn,Alexander Bay,Alexander Bay,ЮАР,ЮАР
,,Asela,Asela,Asela,Asela,Эфиопия,Эфиопия
LIMG,LIMG,Albenga,Albenga,Albenga,Albenga,Италия,Италия
KALM,KALM,Municipal,Municipal,Alamogordo,Alamogordo,США,США
KALN,KALN,Alton,Alton,Alton,Alton,США,США
KALO,KALO,Waterloo,Waterloo,Waterloo,Waterloo,США,США
OSAP,OSAP,Nejrab,Nejrab,Aleppo,Aleppo,Сирия,Сирия
SSAL,SSAL,Federal,Federal,Alegrete,Alegrete,Бразилия,Бразилия
NZLX,NZLX,Alexandra,Alexandra,Alexandra,Alexandra,Новая Зеландия,Новая Зеландия
KALS,KALS,Municipal,Municipal,Alamosa,Alamosa,США,США
,,Alenquer,Alenquer,Alenquer,Alenquer,Бразилия,Бразилия
HCMA,HCMA,Alula,Alula,Alula,Alula,Сомали,Сомали
,,Andorra La Vella H/P,Andorra La Vella H/P,Andorra La Vella,Andorra La Vella,Андорра,Андорра
KALW,KALW,Walla Walla,Walla Walla,Walla Walla,Walla Walla,США,США
KALX,KALX,Thomas C Russell Fld,Thomas C Russell Fld,Alexander City,Alexander City,США,США
HEAX,HEAX,El Nohza,El Nohza,Alexandria,Alexandria,Египет,Египет
KALZ,KALZ,Alitak SPB,Alitak SPB,Alitak,Alitak,США,США
KAMA,KAMA,Rick Husband Amarillo International,Rick Husband Amarillo International,Amarillo, TX,Amarillo, TX,США,США
FMNE,FMNE,Ambilobe,Ambilobe,Ambilobe,Ambilobe,Мадагаскар,Мадагаскар
FTTN,FTTN,Am Timan,Am Timan,Am Timan,Am Timan,Чад,Чад
VAAH,VAAH,Ahmedabad,Ahmedabad,Ahmedabad,Ahmedabad,Индия,Индия
,,Alto Molocue,Alto Molocue,Alto Molocue,Alto Molocue,Мозамбик,Мозамбик
,,Ama,Ama,Ama,Ama,Папуа - Новая Гвинея,Папуа - Новая Гвинея
,,Amboin,Amboin,Amboin,Amboin,Папуа - Новая Гвинея,Папуа - Новая Гвинея
HAAM,HAAM,Arba Mintch,Arba Mintch,Arba Mintch,Arba Mintch,Эфиопия,Эфиопия
WADA,WADA,Selaparang,Selaparang,Mataram,Mataram,Индонезия,Индонезия
SNAR,SNAR,Almenara,Almenara,Almenara,Almenara,Бразилия,Бразилия
,,Animas Airpark,Animas Airpark,Durango,Durango,США,США
,,Puerto Armuellas,Puerto Armuellas,Puerto Armuellas,Puerto Armuellas,Панама,Панама
OJAI,OJAI,Queen Alia Intl,Queen Alia Intl,Amman,Amman,Иордания,Иордания
KAMN,KAMN,Gratiot Community,Gratiot Community,Alma,Alma,США,США
FTTU,FTTU,Mao,Mao,Mao,Mao,Чад,Чад
FMSY,FMSY,Ampanihy,Ampanihy,Ampanihy,Ampanihy,Мадагаскар,Мадагаскар
WAPP,WAPP,Pattimura,Pattimura,Ambon,Ambon,Индонезия,Индонезия
,,Arno,Arno,Arno,Arno,Маршалловы острова,Маршалловы острова
EHAM,EHAM,Amsterdam-Schiphol,Amsterdam-Schiphol,Amsterdam,Amsterdam,Нидерланды,Нидерланды
YAMT,YAMT,Amata,Amata,Amata,Amata,Австралия,Австралия
,,Amanab,Amanab,Amanab,Amanab,Папуа - Новая Гвинея,Папуа - Новая Гвинея
ULDD,ULDD,Amderma,Amderma,Amderma,Amderma,Россия,Россия
KAMW,KAMW,Ames,Ames,Ames,Ames,США,США
YAMM,YAMM,Ammaroo,Ammaroo,Ammaroo,Ammaroo,Австралия,Австралия
,,Ambatomainty,Ambatomainty,Ambatomainty,Ambatomainty,Мадагаскар,Мадагаскар
NZAR,NZAR,Ardmore,Ardmore,Ardmore,Ardmore,Новая Зеландия,Новая Зеландия
KANA,KANA,Orange County Steel Salvage Heliport,Orange County Steel Salvage Heliport,Anaheim,Anaheim,США,США
KANB,KANB,Anniston Metropolitan,Anniston Metropolitan,Anniston,Anniston,США,США
PANC,PANC,Ted Stevens Anchorage International Airport,Ted Stevens Anchorage International Airport,Anchorage,Anchorage,США,США
KAND,KAND,Anderson,Anderson,Anderson,Anderson,США,США
LFJR,LFJR,Marce,Marce,Angers,Angers,Франция,Франция
SCFA,SCFA,Cerro Moreno,Cerro Moreno,Antofagasta,Antofagasta,Чили,Чили
LFBU,LFBU,Brie-Champniers,Brie-Champniers,Angouleme,Angouleme,Франция,Франция
,,Anuha Island Resort,Anuha Island Resort,Anuha Island Resort,Anuha Island Resort,Соломоновы острова,Соломоновы острова
PANI,PANI,Aniak,Aniak,Aniak,Aniak,США,США
FCBZ,FCBZ,Zanaga,Zanaga,Zanaga,Zanaga,ДР Конго,ДР Конго
LTAD,LTAD,Etimesgut,Etimesgut,Ankara,Ankara,Турция,Турция
FNAL,FNAL,Andulo,Andulo,Andulo,Andulo,Ангола,Ангола
FMNH,FMNH,Antsirabato,Antsirabato,Antalaha,Antalaha,Мадагаскар,Мадагаскар
PANT,PANT,Annette Island,Annette Island,Annette Island,Annette Island,США,США
FQAG,FQAG,Angoche,Angoche,Angoche,Angoche,Мозамбик,Мозамбик
KANP,KANP,Lee,Lee,Annapolis,Annapolis,США,США
KANQ,KANQ,Tri-State Steuben Cty,Tri-State Steuben Cty,Angola,Angola,США,США
EBAW,EBAW,Deurne,Deurne,Antwerp,Antwerp,Бельгия,Бельгия
SPHY,SPHY,Andahuaylas,Andahuaylas,Andahuaylas,Andahuaylas,Перу,Перу
PHKO,PHKO,St Anton,St Anton,St Anton,St Anton,Австрия,Австрия
TAPA,TAPA,V. C. Bird Intl,V. C. Bird Intl,St. John s,St. John s,Антигуа и Барбуда,Антигуа и Барбуда
PANV,PANV,Anvik,Anvik,Anvik,Anvik,США,США
KANW,KANW,Ainsworth,Ainsworth,Ainsworth,Ainsworth,США,США
ENAN,ENAN,Andenes,Andenes,Andenes,Andenes,Норвегия,Норвегия
KANY,KANY,Anthony,Anthony,Anthony,Anthony,США,США
,,Angus Downs,Angus Downs,Angus Downs,Angus Downs,Австралия,Австралия
,,Aroa,Aroa,Aroa,Aroa,Папуа - Новая Гвинея,Папуа - Новая Гвинея
,,Annanberg,Annanberg,Annanberg,Annanberg,Папуа - Новая Гвинея,Папуа - Новая Гвинея
EDAC,EDAC,Altenburg Nobitz,Altenburg Nobitz,Altenburg,Altenburg,Германия,Германия
,,Abou Deia,Abou Deia,Abou Deia,Abou Deia,Чад,Чад
OPKC,OPKC,Anadolu University,Anadolu University,Eskisehir,Eskisehir,Турция,Турция
